NAME,POS,PARTY,DIST,TERM
"Bird, Calvin G.",Representative,Republican,65,2003-2004
"Bird, Glenn V.",Representative,Democrat,65,1987-1988
"Bird, Jim",Representative,Republican,42,2007-2014
"Bischoff, Douglas G.",Senator,Republican,"5, 7",1971-1976
"Bishop, Rob W.",Representative,Republican,"61, 2",1979-1994
"Biskupski, Jackie",Representative,Democrat,30,1999-2011
"Bittner, Fred W.",Representative,Republican,11,1967
"Black, Benjamin D.",Representative,,27,1931
"Black, Calvin",Representative,Republican,73,1973-1974
"Black, George W.",Representative,Democrat,11,1973-1974
"Black, Laura",Representative,Democrat,45,2009-2010
"Black, Wilford Rex",Senator,Democrat,2,1973-1997
"Blackett, Lawrence",Representative,,13,1915
"Blackham, Leonard M.",Senator,Republican,"28, 24",1993-2004
"Blakley, Delora W.",Representative,,8,1919
"Bletzacker, Clifford",Representative,Democrat,8,1935
"Bodell, Elizabeth M.",Representative,Democrat,8,1941
"Bodily, Stephen M.",Representative,Republican,3,1983-1996
"Bolitho, James M.",Representative,,18,1896
"Bonacci, Frank",Representative,Democrat,15,"1937-1939, 1945-1951"
"Booth, A. L.",Senator,,7,1911-1913
"Booth, Hiram E.",Senator,,6,1896
"Booth, J. Wilmer",Representative,,8,1923
"Booth, J. Wilmer",Senator,,6,1927
"Booth, John E.",Senator,Republican,7,1931-1933
"Borgeson, Vernon R.",Representative,Democrat,15,1991-1992
"Bosone, Reva Beck",Representative,Democrat,"15, 8",1933-1935
"Boswell, R. H.",Representative,,11,1921
"Bott, Albert L.",Representative,Republican,4,1961-1963
"Bourdeaux, Duane E.",Representative,Democrat,23,1997-2006
"Bowen, Robert O.",Representative,Democrat,44,1971-1972
"Bowen, Robert O.",Senator,Democrat,17,1973-1979
"Bowen, Ross C.",Representative,Republican,1,1957-1961
"Bower, B. H.",Representative,,11,1907-1909
"Bowler, F. J.",Representative,Republican,25,1935
"Bowman, DeMar Bud",Representative,Republican,72,1993-2008
"Bowman, O. C.",Senator,Republican,10,1933-1935
"Bowns, James",Representative,,15,1907
"Boyden, John L.",Representative,,9,1917
"Boyden, Maurice E.",Representative,Democrat,9,"1933, 1937-1939"
"Boyer, Selvoy J.",Representative,Democrat,11,"1939, 1945"
"Boyle, D. L.",Representative,,4,1917
"Boyle, Kenneth J.",Representative,Democrat,8,1935
"Bradford, Charles E.",Representative,Republican,20,1995-1997
"Bradford, Richard J.",Representative,Republican,41,1983-1992
"Bradley, Orlando",Senator,,9,1915-1921
"Bradshaw, Afton B.",Representative,Republican,28,1985-2002
"Brady, Kenneth A.",Representative,Republican,22,1967-1970
"Bramble, Curtis S.",Senator,Republican,16,2001-2019
"Brammer, Brady",Representative,Republican,27,2019
"Bramwell, George W.",Representative,,4,1899
"Brandt, Jo",Representative,Democrat,2,1981-1982
"Bresnahan, David M.",Representative,Republican,42,1995-1997
"Brewer, Alexander L.",Representative,,4,1923
"Brewster, Sheldon R.",Representative,Democrat,8,"1937-1941, 1957-1959"
"Brian, Arthur",Representative,Republican,22,1953-1955
"Brimley, Wilford C.",Representative,,8,1931
"Brink, Charles",Representative,,8,1903
"Brinkerhoff, Alonzo",Senator,,12,1907-1909
"Brinkerhoff, George C.",Representative,,22,"1915, 1927"
"Brinkerhoff, Royal J.",Representative,Republican,22,1943-1947
"Briscoe, Joel K.",Representative,Democrat,25,2011-2019
"Brockbank, Gary H.",Representative,Republican,17,1977-1982
"Brockbank, Taylor P.",Senator,Democrat,6,1945-1951
"Brockbank, W. Hughes",Representative,Republican,8,1959-1961
"Brockbank, W. Hughes",Senator,Republican,"6, 1",1963-1976
"Bronson, Boyd C.",Representative,Republican,19,1967
"Brooke, Donald G.",Senator,Democrat,5,1973-1976
"Brooks, Walt",Representative,Republican,75,2017-2019
"Brotherson, William N.",Representative,Republican,28,1949-1955
"Brough, Richard M.",Representative,Republican,62,1967
"Brown, A. R.",Representative,,17,1919
"Brown, Derek E.",Representative,Republican,49,2011-2013
"Brown, Edward D.",Representative,Democrat,6,1975-1978
"Brown, Glen E.",Representative,Republican,"66, 54",1978-1992
"Brown, J. Louis",Representative,,8,1915
"Brown, Melvin R.",Representative,Republican,"38, 45, 53","1987-2000, 2007-2016"
"Browne, Keith",Representative,Republican,8,1947
"Browning, Frank M.",Senator,Democrat,4,1959-1965
"Browning, Ira R.",Representative,,16,1915
"Browning, Kaye",Representative,Republican,13,1983-1986
"Browning, T. Samuel",Representative,,4,1923-1925
"Brusatto, James",Representative,Democrat,8,1957-1961
"Bryan, Bent R.",Representative,Democrat,13,1935
"Bryan, Eldon",Representative,Democrat,16,1937-1941
"Bryson, Katherine M.",Representative,Republican,60,1997-2004
"Buckner, Del L.",Representative,Democrat,"27, 31",1969-1978
"Buckner, E. LaMar",Representative,Republican,4,1965
"Buckner, E. LaMar",Senator,Republican,"14, 18",1967-1974
"Buckner, Perry L.",Representative,Democrat,42,1997-2001
"Buckway, Dallas H.",Representative,Democrat,"4, 29, 42","1965, 1971-1976"
"Buffmire, Judy Ann",Representative,Democrat,35,1993-2004
"Buhler, David L.",Senator,Republican,7,1995-1999
"Buhler, Robert E.",Representative,Republican,3,1967
"Bullard, W. R.",Representative,,2,1919
"Bullen, Charles W.",Representative,Republican,"50, 58",1971-1976
"Bullen, Charles W.",Senator,Republican,25,1977-1984
"Bullen, Herschel",Senator,,2,1907-1909
"Bullen, N. F.",Representative,,2,1927-1929
"Bullen, Reed",Senator,Republican,"2, 21, 25",1955-1976
"Bullock, J. Robert",Representative,Republican,11,1963-1965
"Bullock, J. O.",Representative,,11,1919
"Bunce, Winford",Representative,Republican,17,1945-1947
"Bunderson, Victor L.",Representative,Republican,16,1951-1953
"Bunnell, Omar B.",Senator,Democrat,"14, 23, 27",1965-1992
"Burck, George J.",Representative,Republican,17,1955-1957
"Burgon, E. L.",Representative,,8,1931
"Burningham, G. Leland",Representative,Republican,8,1961
"Burningham, Kim R.",Representative,Republican,"56, 19",1980-1994
"Burns, James E.",Senator,Democrat,15,1949-1951
"Burt, Wallace L.",Senator,Republican,4,1967
"Burton, C. Taylor",Senator,Republican,"6, 5","1953-1955, 1967-1970"
"Burton, Christopher",Senator,,3,1909-1911
"Burton, Theodore T.",Representative,,8,1915
"Burton, Thomas H.",Representative,,13,1929
"Burton, Wilford M.",Representative,Democrat,8,1937
"Bush, Don E.",Representative,Republican,"15, 14","1989-1990, 1993-2004"
"Bushman, John",Representative,Democrat,11,1943
"Bushnell, Dan S.",Representative,Democrat,8,1951
"Buttars, Craig W.",Representative,Republican,3,1997-2006
"Buttars, D. Chris",Senator,Republican,"5, 10",2001-2011
"Butterfield, A. T.",Representative,,8,1923
"Butterfield, David G.",Representative,Republican,4,2011-2012
"Butters, Earl",Representative,Republican,5,1953-1955
"Buxton, D. Gregg",Representative,Republican,12,2003-2007
"Buxton, D. Gregg",Senator,Republican,20,2017-2019
"Bywater, Joseph G.",Representative,,8,"1899, 1917"
"Cahoon, James W.",Representative,,8,1903
"Cahoon, Mrs. Leonard",Representative,,8,1931
"Caine, John T.",Senator,,6,1897
"Caine, Lawrence B.",Representative,Democrat,2,1933
"Calder, David H.",Representative,Democrat,12,1937
"Calder, Hyrum B.",Senator,Democrat,5,1933-1935
"Calder, Leo",Representative,Democrat,12,1945
"Call, Craig M.",Representative,Republican,63,1985-1988
"Call, Richard A.",Senator,Republican,16,1967-1970
"Callis, Charles A.",Representative,,9,1897
"Callister, Edward R.",Representative,,8,1921-1923
"Callister, Edward R.",Senator,,6,1925-1927
"Callister, Ralph D.",Representative,Republican,8,1945
"Callister, T. Clark",Representative,,19,1931
"Callister, Thomas C.",Representative,,19,1899
"Callister, Thomas C.",Senator,,8,1905-1907
"Campbell, J. S.",Representative,,4,1917
"Candland, W. D.",Senator,Republican,9,1923-1933
"Candland, William",Senator,,9,1896
"Cannon, Annie Wells",Representative,,8,1913
"Cannon, D. James",Representative,Republican,8,1957
"Cannon, Edwin Q.",Representative,Republican,8,1947-1949
"Cannon, Edwin B.",Senator,Republican,6,1951-1953
"Cannon, Edwin Q.",Representative,Republican,8,1957-1961
"Cannon, George M.",Senator,,6,1896
"Cannon, Joseph J.",Representative,,8,1909
"Cannon, Martha H.",Senator,,6,1897-1899
"Cannon, Quayle",Representative,,6,1923
"Cannon, Quayle",Representative,Republican,8,1941-1943
"Cannon, Ralph S.",Representative,Republican,"8, 12","1963, 1967"
"Cannon, Russell A.",Representative,Republican,49,1993-1994
"Cannon, T. Quentin",Representative,Republican,"18, 19",1969-1980
"Cardon, Joseph E.",Representative,,2,"1913, 1917-1919"
"Cardon, Kenneth",Representative,Republican,2,1957
"Cardon, L. B.",Representative,,8,1931
"Carey, J. E. L.",Representative,,28,1921
"Carling, Richard J.",Representative,Republican,2,1967-1971
"Carling, Richard J.",Senator,Republican,3,1973
 ,Representative,Republican,7,1973-1974
 ,Senator,Republican,3,1975-1990
"Carlisle, Emily M.",Representative,,8,1929
"Carlisle, Vervene",Representative,Democrat,"12, 4","1972, 1975-1978"
"Carlson, Mary",Representative,Democrat,31,1993-2001
"Carnahan, Orville D.",Representative,Republican,34,1993-1999
"Carrigan, James W.",Representative,,5,1931
"Carroll, Charles W.",Representative,,26,1905
"Carter, Vern A.",Representative,Republican,26,1969-1970
"Cates, W. C.",Representative,,20,1931
"Cayias, William J.",Representative,Democrat,8,1949
"Cazier, Adelbert",Representative,,13,1896
"Cazier, Edna J.",Representative,Democrat,13,1949-1957
"Cazier, Orson",Representative,,13,1917
"Chamberlain, Hoyt",Representative,Republican,26,1937-1941
"Chambers, Robert C.",Senator,,5,1896-1899
"Chard, Blake D.",Representative,Republican,15,1993-2000
"Chavez-Houck, Rebecca",Representative,Democrat,24,2008-2018
"Chew, Scott H.",Representative,Republican,55,2015-2019
"Chez, Joseph W.",Senator,,4,1915-1919
"Chidester, John F.",Senator,,10,1896
"Child, Earl B.",Representative,Republican,50,1973-1974
"Child, John C.",Representative,,4,"1903, 1915"
"Child, Stanley N.",Representative,Democrat,8,1935
"Child, Stanley N.",Senator,Democrat,6,1939-1945
"Chipman, Stephen L.",Representative,,11,1903
"Christensen, Allen M.",Senator,Republican,19,2005-2019
"Christensen, Arnold",Senator,Republican,10,1979-1994
"Christensen, Dean C.",Representative,Republican,42,1967-1970
"Christensen, Dean C.",Senator,Republican,16,1971-1972
"Christensen, George A.",Representative,Democrat,8,1939
"Christensen, George A.",Senator,Democrat,6,1941-1943
"Christensen, Hans",Representative,Democrat,14,1933
"Christensen, Heber C.",Representative,,18,1913
"Christensen, Hyrum",Representative,,14,1923
"Christensen, LaVar",Representative,Republican,"48, 32","2003-2006, 2011-2018"
"Christensen, N. C.",Representative,,"14, 11","1901, 1905, 1923-1925"
"Christensen, Parley P.",Representative,,8,1915
"Christensen, Reuel E.",Representative,Republican,14,1943-1947
"Christensen, Reuel L.",Representative,Republican,14,1955
"Christensen, Tom",Representative,Republican,"72, 71",1979-1990
"Christenson, Mrs. A. S.",Representative,Republican,11,1947
"Christiansen, Leon F.",Representative,Republican,28,1977-1980
"Christiansen, Parley",Representative,,14,1899
"Christofferson, Kay J.",Representative,Republican,56,2013-2019
"Clark, Carl R.",Senator,Republican,10,1967
"Clark, David",Representative,Republican,74,2001-2011
"Clark, E. E.",Representative,Democrat,1,1933
"Clark, Edgar L.",Representative,,24,1896
"Clark, Ezra T.",Senator,Republican,"18, 23",1967-1976
"Clark, Nathaniel D.",Representative,Democrat,"4, 33","1965, 1969-1972"
"Clark, S. Wayne",Representative,Republican,7,1947
"Clark, Stephen D.",Representative,Republican,63,2001-2010
"Clawson, Curtis Y.",Representative,,8,1921
"Claybaugh, Charles W.",Representative,Republican,1,1955
"Clayson, Eli J.",Representative,,11,1929-1931
"Clegg, Brigham",Representative,,8,1907-1909
"Clegg, Cloa",Representative,,8,1921
"Clegg, Luke",Senator,Republican,7,1951-1961
"Clegg, Peter",Senator,,1,1905-1907
"Clegg, Rue L.",Senator,Republican,6,1947-1949
"Clyde, Don",Representative,Democrat,10,1939
"Clyde, James W.",Representative,,10,1899
"Clyde, James W.",Senator,,5,1917-1919
"Clyde, Robert F.",Representative,Republican,10,1961-1965
"Clyde, Robert F.",Senator,Republican,"22, 26",1967-1977
"Cochran, James Hubert",Representative,Democrat,8,"1955, 1961-1965"
"Cockayne, T. William",Representative,Republican,"5, 8",1972-1976
"Cole, Harry B.",Representative,,8,1911
"Coleman, Kim F.",Representative,Republican,42,2015-2019
"Collard, George E.",Representative,Republican,11,1957-1961
"Colton, Don B.",Representative,,12,1903
"Colton, Don B.",Senator,,12,1915-1917
"Compton, Dean",Representative,Democrat,1,1963
"Condon, Amasa S.",Representative,,4,"1896, 1903"
"Conover, Eva W.",Representative,Democrat,16,1963-1965
"Conover, Jesse M.",Representative,Republican,16,1957
"Conover, Martin",Representative,Republican,40,1974
"Conover, W. Harrison",Representative,Republican,11,1953-1955
"Considine, James F.",Representative,Democrat,10,1981
"Constantine, George J.",Representative,,17,1923
"Cook, Clarence",Representative,Democrat,3,1935
"Cook, David S.",Representative,,3,1897-1899
"Cook, David J.",Representative,,8,1913
"Cook, Samuel N.",Representative,,1,1897
"Cooper, Glen H.",Representative,Republican,12,1963
"Cooper, Grace A.",Representative,,15,1929
"Cooper, J. Arthur",Representative,Republican,23,1959
"Cooper, John B.",Representative,Democrat,"37, 33","1972, 1975-1978"
"Cope, Albert J.",Representative,Democrat,8,1945-1955
"Coppin, W. J.",Representative,,8,1927
"Cornaby, K. S.",Senator,Republican,7,1977-1990
"Cornwall, E. H.",Representative,Democrat,1,1933-1935
"Cosgrove, Tim M.",Representative,Democrat,44,2005-2014
"Costello, John",Representative,Democrat,15,1961
"Cottam, Thomas P.",Representative,,25,1905-1907
"Cottle, L. Glen",Representative,Democrat,"35, 48","1971-1972, 1975-1978"
"Cottrell, Charles",Senator,,6,"1913-1915, 1923-1925"
"Cottrell, Wendell L.",Representative,Republican,8,1947
"Coulter, Mary G.",Representative,,4,1903
"Cowles, Val H.",Representative,Democrat,15,"1939, 1943"
"Cowles, Val H.",Senator,Democrat,14,1945-1947
"Cox, David N.",Representative,Republican,56,1999-2006
"Cox, Fred C.",Representative,Republican,"32, 30","2011-2012, 2015-2016"
"Cox, Gary F.",Representative,Democrat,38,1997-2001
"Cox, Jon",Representative,Republican,58,2014-2015
"Cox, R. LaVaun",Senator,Democrat,9,1959-1961
"Cox, Spencer J.",Representative,Republican,58,2013
"Cox, W. Malin",Representative,Republican,"25, 69",1965-1967
"Craig, William",Senator,,4,1913-1915
"Crane, W. A.",Representative,,8,1927
"Crapo, C. C.",Representative,,8,1911
"Creer, A. R.",Representative,Democrat,11,"1929, 1933"
"Creer, W. O.",Representative,,11,1897
"Critchlow, Edward B.",Representative,,8,1896
"Critchlow, George A.",Representative,,8,1929
"Critchlow, John Q.",Representative,,8,1907
"Croft, Charles M.",Representative,,5,"1907, 1915, 1919"
"Crofts, Alfred H.",Representative,Republican,26,1949-1951
"Crofts, E. Arlis",Representative,Republican,18,1953-1955
"Cromar, Herbert B.",Representative,,8,1905
"Cromar, Kevin C.",Representative,Republican,46,1983-1986
"Crook, Frederick",Representative,,10,1919-1923
"Crosby, Jesse W.",Representative,,23,1899
"Crouch, H. H.",Representative,,5,"1913, 1921-1927"
"Crump, Glen W.",Representative,Democrat,"8, 23","1959-1961, 1969-1970"
"Crump, William C.",Representative,,8,1929
"Cullimore, Kirk A.",Senator,Republican,9,2019
"Cullimore, Mrs. Lloyd C.",Representative,Democrat,11,1949
"Cummings, Horace",Representative,,8,1899
"Cunningham, Rich",Representative,Republican,50,2013-2016
"Curran, Robert",Representative,Republican,44,1981-1982
"Currie, Robert E.",Representative,,8,1917-1919
"Curry, Lewis W.",Representative,,12,1917-1919
"Curry, M. W.",Representative,Republican,12,1939
"Curtin, James P.",Representative,,15,1905
"Curtis, Greg J.",Representative,Republican,49,1995-2008
"Curtis, Lee A.",Representative,,4,1896
"Cushing, Harwood M.",Representative,,8,1896
"Cutler, Bruce R.",Representative,Republican,44,2015-2018
"Cutler, H. S.",Representative,,26,1901
"Dabakis, Jim",Senator,Democrat,2,2013-2018
"Dahl, Donna M.",Representative,Republican,"22, 37",1981-1986
"Dahlquist, L.",Representative,,8,1911
"Dailey, M. J.",Representative,,9,1905
"Dailey-Provost, Jennifer",Representative,Democrat,24,2019
"Dalebout, Lee W.",Representative,Republican,8,1951-1955
"Dalrymple, Richard H.",Representative,Democrat,17,1939-1941
"Dalton, Charles R.",Representative,,21,1931
"Dalton, LeRoy",Representative,,21,1927
"Dalton, Melvin S.",Representative,Democrat,17,1959-1961
"Daly, Walter B.",Representative,Democrat,23,1949
"Daniels, Drew",Representative,Democrat,67,1987-1988
"Daniels, Scott",Representative,Democrat,25,2001-2004
